seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender
1312,1458,Closed,389,7/30/2011 15:16,5,7/30/2011 15:23,16,B00090,Casual,,,
1313,1459,Closed,1871,7/30/2011 15:18,38,7/30/2011 15:49,38,B00279,Casual,,,
1314,1460,Closed,1896,7/30/2011 15:17,38,7/30/2011 15:49,38,B00389,Casual,,,
1315,1461,Closed,2584,7/30/2011 15:20,42,7/30/2011 16:03,47,B00157,Casual,,,
1316,1462,Closed,1179,7/30/2011 15:18,34,7/30/2011 15:38,21,B00342,Casual,,,
1317,1464,Closed,2584,7/30/2011 15:20,42,7/30/2011 16:03,47,B00477,Casual,,,
1318,1465,Closed,855,7/30/2011 15:30,32,7/30/2011 15:44,25,B00329,Casual,,,
1319,1466,Closed,857,7/30/2011 15:30,32,7/30/2011 15:44,25,B00397,Registered,'02118,1980,1
1320,1467,Closed,1100,7/30/2011 15:32,23,7/30/2011 15:50,36,B00152,Casual,,,
1321,1468,Closed,3998,7/30/2011 15:31,40,7/30/2011 16:37,20,B00196,Casual,,,
1322,1469,Closed,1545,7/30/2011 15:34,46,7/30/2011 16:00,23,B00482,Casual,,,
1323,1470,Closed,1539,7/30/2011 15:35,46,7/30/2011 16:00,23,B00042,Casual,,,
1324,1471,Closed,2127,7/30/2011 15:36,6,7/30/2011 16:11,6,B00215,Casual,,,
1325,1472,Closed,1890,7/30/2011 15:40,6,7/30/2011 16:11,6,B00159,Casual,,,
1326,1473,Closed,1842,7/30/2011 15:37,30,7/30/2011 16:07,16,B00026,Casual,,,
1327,1474,Closed,1088,7/30/2011 15:37,36,7/30/2011 15:55,38,B00387,Casual,,,
1328,1477,Closed,1715,7/30/2011 15:43,6,7/30/2011 16:11,6,B00047,Casual,,,
1329,1478,Closed,12327,7/30/2011 15:43,36,7/30/2011 19:08,20,B00401,Casual,,,
1330,1479,Closed,12367,7/30/2011 15:43,36,7/30/2011 19:09,20,B00050,Casual,,,
1331,1481,Closed,16507,7/30/2011 15:45,41,7/30/2011 20:20,53,B00542,Casual,,,
1332,1482,Closed,966,7/30/2011 15:45,42,7/30/2011 16:01,24,B00417,Casual,,,
1333,1483,Closed,1244,7/30/2011 15:46,30,7/30/2011 16:07,16,B00189,Casual,,,
1334,1484,Closed,449,7/30/2011 15:47,36,7/30/2011 15:54,50,B00539,Registered,'02109,1976,2
